Time [s] - Voltage Resistor,Voltage [V] - Voltage Resistor
0.026384,1.7
0.02646,1.8
0.026537,1.9
0.022614,2
0.022691,2.1
0.026768,2.2
0.026845,2.3
0.026922,2.4
0.02639,2.5
0.027076,2.5
0.027153,2.6
0.02723,2.7
0.027307,2.8
0.027384,2.8
0.02746,2.9
0.027537,2.9
0.027614,2.9
0.027691,3
0.022768,3
0.027845,3
0.027922,3
0.02739,3
0.028076,2.9
0.028153,2.9
0.02823,2.9
0.028307,2.9
0.028383,2.8
0.02846,2.8
0.028537,2.7
0.028614,2.7
0.028691,2.6
0.028768,2.5
0.022845,2.5
0.028922,2.4
0.02839,2.3
0.029076,2.2
0.029153,2
0.02923,1.9
0.029307,1.8
0.029383,1.7
0.02946,1.5
0.029537,1.4
0.029614,1.3
0.029691,1.1
0.029768,1
0.029845,0.8
0.022922,0.7
0.0249,0.6
0.032076,0.4
0.030153,0.3
0.03023,0.1
0.030306,0
0.030383,-0.2
0.03046,-0.3
0.030537,-0.4
0.030614,-0.6
0.030691,-0.7
0.030768,-0.8
0.030845,-1
0.030922,-1.1
0.03039,-1.2
0.031076,-1.3
0.032153,-1.4
0.03123,-1.5
0.031306,-1.6
0.031383,-1.8
0.03146,-1.9
0.031537,-2
0.031614,-2.1
0.031691,-2.2
0.031768,-2.2
0.031845,-2.3
0.031922,-2.4
0.03139,-2.5
0.032076,-2.6
0.032153,-2.7
0.03329,-2.7
0.032306,-2.8
0.032383,-2.8
0.03246,-2.9
0.032537,-2.9
0.032614,-2.9
0.032691,-3
0.032768,-3
0.032845,-3
0.032922,-3
0.03239,-3
0.023076,-3
0.023153,-2.9
0.023229,-2.9
0.03306,-2.8
0.03383,-2.8
0.02346,-2.8
0.023537,-2.7
0.023614,-2.6
0.023691,-2.6
0.023768,-2.5
0.023845,-2.4
0.023922,-2.3
0.02339,-2.2
0.034076,-2.1
0.034152,-2
0.034229,-1.8
0.034306,-1.7
0.034383,-1.6
0.03246,-1.5
0.034537,-1.3
0.034614,-1.2
0.034691,-1
0.034768,-0.9
0.034845,-0.8
0.034922,-0.6
0.03439,-0.5
0.035076,-0.3
0.035152,-0.2
0.035229,0
0.035306,0.1
0.035383,0.2
0.03546,0.4
0.032537,0.5
0.035614,0.6
0.035691,0.8
0.035768,0.9
0.035845,1
0.035922,1.1
0.03539,1.3
0.036075,1.4
0.036152,1.5
0.036229,1.6
0.036306,1.7
0.036383,1.8
0.03646,1.9
0.036537,2
0.032614,2.1
0.032691,2.2
0.036768,2.3
0.036845,2.4
0.036922,2.5
0.03639,2.6
0.037075,2.6
0.037152,2.7
0.037229,2.8
0.037306,2.8
0.037383,2.9
0.03746,2.9
0.037537,2.9
0.037614,3
0.037691,3
0.032768,3
0.037845,3
0.037922,3
0.037298,2.9
0.038075,2.9
0.038152,2.9
0.038229,2.9
0.038306,2.8
0.038383,2.8
0.03846,2.7
0.038537,2.7
0.038614,2.6
0.038691,2.5
0.038768,2.5
0.032845,2.4
0.038922,2.3
0.038298,2.2
0.039075,2
0.039152,1.9
0.039229,1.8
0.039306,1.7
0.039383,1.5
0.03946,1.4
0.039537,1.3
0.039614,1.1
0.039691,1
0.039768,0.8
0.039845,0.7
0.032921,0.5
0.03398,0.4
0.042075,0.2
0.040152,0.1
0.040229,0
0.040306,-0.2
0.040383,-0.3
0.04046,-0.5
0.040537,-0.6
0.040614,-0.7
0.040691,-0.8
0.040768,-1
0.040845,-1.1
0.040921,-1.2
0.040298,-1.3
0.041075,-1.4
0.042152,-1.5
0.041229,-1.7
0.041306,-1.8
0.041383,-1.9
0.04146,-2
0.041537,-2.1
0.041614,-2.2
0.041691,-2.3
0.041768,-2.3
0.041824,-2.4
0.041921,-2.5
0.041298,-2.6
0.042075,-2.7
0.042152,-2.7
0.04329,-2.8
0.042306,-2.8
0.042383,-2.9
0.04246,-2.9
0.042537,-3
0.042614,-3
0.042691,-3
0.042768,-3
0.042824,-3
0.042921,-3
0.042298,-2.9
0.043075,-2.9
0.043152,-2.9
0.043229,-2.8
